User_id,Day_name,Hour_of_Day,month_id,Watch_date,Month_Name,Day_classification,TV_Channel,Watch_Time,Duration,userid,Region,Age_Group,Race,Gender,email_flag,SM_Flag
866270,Sat,9,201603,2016-03-19,Mar,Weekend,Cartoon Network,09:27:00,00:20:19,866270,Gauteng,Young Adults,indian_asian,male,1,1
858517,Fri,16,201603,2016-03-25,Mar,Weekday,Channel O,16:17:00,00:02:24,858517,Uncategorized,Infants,None,Unknown,1,1
858517,Fri,10,201603,2016-03-25,Mar,Weekday,Channel O,10:44:00,00:01:00,858517,Uncategorized,Infants,None,Unknown,1,1
789241,Sat,8,201602,2016-02-13,Feb,Weekend,Boomerang,08:22:00,00:01:58,789241,Northern Cape,Young Adults,coloured,male,1,1
1106301,Sat,6,201603,2016-03-26,Mar,Weekend,SuperSport Blitz,06:05:00,00:00:50,1106301,Gauteng,Adults,indian_asian,male,1,1
1106301,Sat,8,201603,2016-03-26,Mar,Weekend,SuperSport Blitz,08:23:00,00:01:54,1106301,Gauteng,Adults,indian_asian,male,1,1
817331,Thu,12,201602,2016-02-25,Feb,Weekday,Channel O,12:36:00,00:16:00,817331,Gauteng,Teens,black,male,1,1
2368568,Fri,7,201603,2016-03-18,Mar,Weekday,CNN,07:14:00,00:07:50,2368568,Kwazulu Natal,Adults,indian_asian,male,1,1
2368568,Sat,18,201603,2016-03-19,Mar,Weekend,CNN,18:36:00,00:02:01,2368568,Kwazulu Natal,Adults,indian_asian,male,1,1
2368568,Sun,16,201603,2016-03-20,Mar,Weekend,Supersport Live Events,16:29:00,00:00:00,2368568,Kwazulu Natal,Adults,indian_asian,male,1,1
2368568,Wed,5,201603,2016-03-16,Mar,Weekday,Africa Magic,05:38:00,00:00:44,2368568,Kwazulu Natal,Adults,indian_asian,male,1,1
2368568,Tue,21,201603,2016-03-15,Mar,Weekday,Channel O,21:31:00,00:24:39,2368568,Kwazulu Natal,Adults,indian_asian,male,1,1
809056,Fri,14,201602,2016-02-05,Feb,Weekday,Channel O,14:31:00,00:03:27,809056,Western Cape,Adults,coloured,male,1,1
809056,Fri,11,201602,2016-02-26,Feb,Weekday,ICC Cricket World Cup 2011,11:02:00,00:03:30,809056,Western Cape,Adults,coloured,male,1,1
809056,Mon,15,201602,2016-02-15,Feb,Weekday,E! Entertainment,15:50:00,00:01:54,809056,Western Cape,Adults,coloured,male,1,1
809056,Sat,9,201602,2016-02-20,Feb,Weekend,Trace TV,09:29:00,00:04:15,809056,Western Cape,Adults,coloured,male,1,1
809056,Sat,9,201602,2016-02-20,Feb,Weekend,SuperSport Blitz,09:31:00,00:01:28,809056,Western Cape,Adults,coloured,male,1,1
809056,Sun,11,201602,2016-02-14,Feb,Weekend,Channel O,11:27:00,00:04:24,809056,Western Cape,Adults,coloured,male,1,1
809056,Sun,15,201602,2016-02-21,Feb,Weekend,Trace TV,15:17:00,00:23:48,809056,Western Cape,Adults,coloured,male,1,1
809056,Tue,18,201602,2016-02-02,Feb,Weekday,Africa Magic,18:18:00,00:00:53,809056,Western Cape,Adults,coloured,male,1,1
809056,Thu,7,201602,2016-02-25,Feb,Weekday,ICC Cricket World Cup 2011,07:45:00,00:04:32,809056,Western Cape,Adults,coloured,male,1,1
809056,Tue,8,201603,2016-03-08,Mar,Weekday,Trace TV,08:42:00,00:09:48,809056,Western Cape,Adults,coloured,male,1,1
809056,Fri,19,201601,2016-01-01,Jan,Weekday,Trace TV,19:19:00,00:01:00,809056,Western Cape,Adults,coloured,male,1,1
809056,Wed,21,201601,2016-01-27,Jan,Weekday,Trace TV,21:45:00,00:07:39,809056,Western Cape,Adults,coloured,male,1,1
809056,Tue,12,201601,2016-01-12,Jan,Weekday,Supersport Live Events,12:21:00,00:00:58,809056,Western Cape,Adults,coloured,male,1,1
809056,Wed,19,201601,2016-01-06,Jan,Weekday,Trace TV,19:27:00,00:23:06,809056,Western Cape,Adults,coloured,male,1,1
